Usuario,Artista 1,Artista 2,Artista 3,Artista 4,Artista 5,Artista 6,Artista 7,Artista 8,Artista 9,Artista 10,Artista 11,Artista 12,Artista 13,Artista 14,Artista 15,Artista 16,Artista 17,Artista 18,Artista 19,Artista 20,Artista 21,Artista 22,Artista 23,Artista 24,Artista 25,Artista 26,Artista 27,Artista 28,Artista 29,Artista 30
miathagoat76,Billie Eilish,Taylor Swift,Olivia Rodrigo,Conan Gray,Lil Peep,Labrinth,Ariana Grande,boygenius,Phoebe Bridgers,Melanie Martinez,FINNEAS,beabadoobee,blohsh,Lana Del Rey,Sabrina Carpenter,Kali Uchis,"Tyler, the Creator",Doja Cat,Dreamy,Eminem,Mark Ronson,Laufey,Nicki Minaj,Merijnmx,$hoopcrusher,Reneé Rapp,Chappell Roan,Salvia Palth,nezexous,Drake
CarsForYou,Billie Eilish,Nardo Wick,Kanye West,"Tyler, the Creator",Frank Ocean,Playboi Carti,A$AP Rocky,Kendrick Lamar,Lil Yachty,Travi$ Scott,Redveil,$NOT,J. Cole,Clairo,21 Savage,Lil Baby,Drake,XXXTENTACION,Ski Mask the Slump God,NLE Choppa,Kid Cudi,Baby Keem,Steve Lacy,JID,BabyTron,Kodak Black,Autumn!,Pusha T,YBN Nahmir,SZA
Usoekdizos9wi,Billie Eilish,Taylor Swift,Ariana Grande,Lana Del Rey,Beyoncé,Dua Lipa,Tate McRae,Katy Perry,Olivia Rodrigo,Kendrick Lamar,Lady Gaga,Madison Beer,BLACKPINK,Sabrina Carpenter,Troye Sivan,Rihanna,The Weeknd,Melanie Martinez,Anitta,Doja Cat,Nicki Minaj,SZA,Megan Thee Stallion,Luísa Sonza,Selena Gomez,Charli XCX,Nicholas Galitzine,Sia,Demi Lovato,Camila Cabello
Lara_tumblesss,Billie Eilish,Nessa Barrett,Olivia Rodrigo,Labrinth,Lil Peep,d4vd,blohsh,Cactus Jack,Tate McRae,Melanie Martinez,Conan Gray,David Kushner,girl in red,Cigarettes After Sex,Lana Del Rey,Sabrina Carpenter,Joji,TV Girl,Gracie Abrams,Montell Fish,The Neighbourhood,Rin',alex_g_offline,beabadoobee,dandelion hands,Dean Lewis,Ariana Grande,Taylor Swift,Kina,Delaney Bailey
vic_ortega,Billie Eilish,Reneé Rapp,Alessia Cara,Labrinth,Little Mix,Jorge Rivera-Herrans,Glee Cast,Sabrina Carpenter,Halsey,Ren,Hailee Steinfeld,Camila Cabello,Christina Aguilera,P!nk,Leslie Odom Jr.,Adele,Grant Gustin,Ariana Grande,Ben Platt,Alec Benjamin,Rihanna,Demi Lovato,NF,Lin-Manuel Miranda,Beyoncé,Kali,Selena Gomez,Lauren Jauregui,James Arthur,Lolo Zouaï
oliviaamaayy,Billie Eilish,Labrinth,Taylor Swift,The Neighbourhood,Lana Del Rey,Hozier,Phoebe Bridgers,Nicki Minaj,Beyoncé,Daughter,Doja Cat,Jessie Reyez,Gracie Abrams,ODESZA,Sia,Justin Bieber,Ice Spice,FINNEAS,Tom Odell,Kanye West,Khalid,Stromae,Tate McRae,boygenius,Ariana Grande,Coldplay,Birdy,grandson,Jennifer Lopez,Childish Gambino
livklass,Billie Eilish,Labrinth,Taylor Swift,The Neighbourhood,Lana Del Rey,Hozier,Nicki Minaj,Phoebe Bridgers,Beyoncé,Daughter,Doja Cat,Jessie Reyez,Gracie Abrams,ODESZA,Sia,Justin Bieber,Ice Spice,FINNEAS,Tom Odell,Khalid,Kanye West,Harry Styles,Stromae,Coldplay,Ariana Grande,Tate McRae,boygenius,Jennifer Lopez,Birdy,grandson
ryloveschris,Billie Eilish,Gracie Abrams,beabadoobee,Phoebe Bridgers,Taylor Swift,Olivia Rodrigo,Madison Beer,Lord Huron,Cigarettes After Sex,Reneé Rapp,Conan Gray,girl in red,The Neighbourhood,Labrinth,Chase Atlantic,Montell Fish,TV Girl,Mitski,Lana Del Rey,Clairo,Ariana Grande,The Weeknd,Mac DeMarco,Sabrina Carpenter,Arctic Monkeys,Lil Peep,d4vd,Nessa Barrett,Steve Lacy,Alex G
BellaRoseBoo,Billie Eilish,Melanie Martinez,David Kushner,Mr.Kitty,ivri,Labrinth,NF,Cigarettes After Sex,Delaney Bailey,Nicholas Bonnin,Alec Benjamin,Øneheart,Montell Fish,Glass Animals,FINNEAS,Hozier,Asbroc,TheFatRat,The Neighbourhood,Kina,Lana Del Rey,Accelerate,VAGUE003,Emptiness,Mitski,Take Care,Øfdream,Ark Patrol,Cavetown,Mat Kearney
fezcoe,Billie Eilish,Ariana Grande,Justin Bieber,Luísa Sonza,Post Malone,Dua Lipa,ROSALÍA,Pabllo Vittar,Maluma,Karol G,Dominic Fike,Baco Exu do Blues,Tini,Shawn Mendes,The Weeknd,Doja Cat,James Arthur,Coldplay,Beyoncé,Rihanna,SZA,Marina Sena,PEDRO SAMPAIO,Labrinth,Lady Gaga,The Kid LAROI,Bruno Mars,Ed Sheeran,Sam Smith,Daniel Caesar
WraithCollier,Billie Eilish,Travi$ Scott,The Weeknd,Drake,Kanye West,Eminem,Bob Marley & The Wailers,"Tyler, the Creator",XXXTENTACION,Metro Boomin,Ace of Base,Juice WRLD,Lynyrd Skynyrd,Nirvana,Frank Ocean,Bruno Mars,John Newman,Kendrick Lamar,ABBA,Labrinth,Blur,The Notorious B.I.G.,Coldplay,JID,Pixies,Shawn Mendes,The Chainsmokers,Eazy-E,Ice Cube,Olivia Rodrigo
skdyy,Billie Eilish,ATEEZ,ITZY,The Beths,Chase Atlantic,aespa,LE SSERAFIM,Fujii Kaze,BABYMETAL,Stray Kids,$uicideboy$,Lil Peep,The Rose,IVE,Labrinth,CHUNG HA,Killstation,XXXTENTACION,BTS,Everglow,Rihanna,Isabel LaRosa,Lil Tecca,TOMORROW X TOGETHER,The Weeknd,(G)I-DLE,Marky B,BLACKPINK,IC3PEAK,ENHYPEN
